student_id,name,department
S1001,John Doe,Computer Science
S1002,Jane Smith,Electronics
1001,Alice Smith,BCA
1002,Bob Jones,BCA
1003,Charlie Brown,BCA
1004,Diana Prince,B.Sc. CSIT
1005,Ethan Hunt,BBA
1006,Fiona Gallagher,BCA
1007,George Washington,B.Sc. CSIT
1008,Hannah Abbott,BBA
1009,Ian Malcolm,BCA
1010,Julia Roberts,BCA
1011,Kevin Hart,BBA
1012,Laura Croft,B.Sc. CSIT
1013,Michael Scott,BCA
1014,Natalie Portman,BBA
1015,Oscar Isaac,B.Sc. CSIT
1016,Peter Parker,BCA
1017,Quentin Tarantino,BBA
1018,Rachel Green,BCA
1019,Steve Rogers,B.Sc. CSIT
1020,Taylor Swift,BBA
